grupo,rigidez,dia_canonico,dias_admisibles,n_adm,distribucion
22,RIGIDO,JUEVES,JUEVES | MIERCOLES | VIERNES,3,"JUEVES:33%, MIERCOLES:28%, VIERNES:22%, MARTES:11%, LUNES:6%"
37,FLEXIBLE,MARTES,JUEVES | MARTES | MIERCOLES,3,"JUEVES:44%, MARTES:33%, MIERCOLES:22%"
1,FLEXIBLE,MARTES,MARTES | MIERCOLES,2,"MARTES:50%, MIERCOLES:43%, JUEVES:7%"
2,RIGIDO,MARTES,MARTES | JUEVES,2,"MARTES:50%, JUEVES:44%, MIERCOLES:6%"
5,FLEXIBLE,JUEVES,VIERNES | JUEVES,2,"VIERNES:58%, JUEVES:42%"
6,RIGIDO,MARTES,MARTES | LUNES,2,"MARTES:78%, LUNES:22%"
10,RIGIDO,JUEVES,VIERNES | JUEVES,2,"VIERNES:48%, JUEVES:41%, MARTES:11%"
11,RIGIDO,JUEVES,JUEVES | VIERNES,2,"JUEVES:48%, VIERNES:30%, MARTES:11%, MIERCOLES:11%"
12,RIGIDO,MIERCOLES,MIERCOLES | JUEVES,2,"MIERCOLES:52%, JUEVES:44%, MARTES:4%"
13,RIGIDO,JUEVES,JUEVES | VIERNES,2,"JUEVES:78%, VIERNES:22%"
15,RIGIDO,MIERCOLES,MIERCOLES | JUEVES,2,"MIERCOLES:67%, JUEVES:22%, MARTES:11%"
19,FLEXIBLE,JUEVES,MARTES | JUEVES,2,"MARTES:61%, JUEVES:17%, MIERCOLES:11%, VIERNES:11%"
20,RIGIDO,JUEVES,JUEVES | VIERNES,2,"JUEVES:78%, VIERNES:22%"
21,RIGIDO,JUEVES,MIERCOLES | JUEVES,2,"MIERCOLES:56%, JUEVES:44%"
23,RIGIDO,MARTES,MARTES | MIERCOLES,2,"MARTES:56%, MIERCOLES:33%, JUEVES:11%"
24,RIGIDO,MIERCOLES,MARTES | MIERCOLES,2,"MARTES:78%, MIERCOLES:22%"
25,RIGIDO,VIERNES,VIERNES | JUEVES,2,"VIERNES:67%, JUEVES:33%"
26,RIGIDO,MIERCOLES,MIERCOLES | JUEVES,2,"MIERCOLES:78%, JUEVES:22%"
27,RIGIDO,MARTES,MARTES | JUEVES,2,"MARTES:44%, JUEVES:44%, VIERNES:11%"
28,FLEXIBLE,JUEVES,JUEVES | VIERNES,2,"JUEVES:61%, VIERNES:28%, LUNES:6%, MARTES:6%"
31,FLEXIBLE,LUNES,MARTES | LUNES,2,"MARTES:56%, LUNES:44%"
32,FLEXIBLE,JUEVES,VIERNES | JUEVES,2,"VIERNES:56%, JUEVES:44%"
34,FLEXIBLE,MIERCOLES,MIERCOLES | MARTES,2,"MIERCOLES:67%, MARTES:22%, VIERNES:11%"
35,FLEXIBLE,JUEVES,JUEVES | VIERNES,2,"JUEVES:78%, VIERNES:22%"
36,FLEXIBLE,JUEVES,JUEVES | VIERNES,2,"JUEVES:56%, VIERNES:22%, MIERCOLES:11%, MARTES:11%"
42,FLEXIBLE,JUEVES,VIERNES | JUEVES,2,"VIERNES:56%, JUEVES:44%"
3,RIGIDO,JUEVES,JUEVES,1,"JUEVES:91%, VIERNES:7%, MARTES:2%"
4,RIGIDO,MARTES,MARTES,1,"MARTES:97%, MIERCOLES:3%"
7,RIGIDO,MIERCOLES,MIERCOLES,1,MIERCOLES:100%
8,RIGIDO,JUEVES,JUEVES,1,"JUEVES:78%, MIERCOLES:15%, MARTES:7%"
9,FLEXIBLE,MARTES,MARTES,1,"MARTES:81%, LUNES:11%, JUEVES:7%"
14,RIGIDO,LUNES,LUNES,1,LUNES:100%
16,RIGIDO,LUNES,LUNES,1,LUNES:100%
17,FLEXIBLE,VIERNES,VIERNES,1,"VIERNES:63%, JUEVES:15%, MIERCOLES:15%, MARTES:7%"
18,FLEXIBLE,JUEVES,JUEVES,1,"JUEVES:83%, LUNES:6%, MARTES:6%, VIERNES:6%"
29,RIGIDO,LUNES,LUNES,1,LUNES:100%
30,RIGIDO,LUNES,LUNES,1,LUNES:100%
33,FLEXIBLE,MIERCOLES,MIERCOLES,1,"MIERCOLES:67%, VIERNES:11%, JUEVES:11%, MARTES:11%"
38,FLEXIBLE,LUNES,LUNES,1,LUNES:100%
39,FLEXIBLE,LUNES,LUNES,1,LUNES:100%
40,FLEXIBLE,LUNES,LUNES,1,LUNES:100%
41,FLEXIBLE,LUNES,LUNES,1,LUNES:100%
