no_sucursal,num_tienda,nombre_excel,nombre_bd,lat_excel,lon_excel,lat_bd,lon_bd,dist_m,flag,estado_revision
1,1,Tiendas Lores Tierra Blanca Centro,Tierra Blanca 1,18.4479028,-96.3583565,18.448761,-96.3580946,99,,ok
2,2,Tiendas Lores Tux Centro,Tuxtepec 1 (Centro),18.0834118,-96.1256385,18.0843494,-96.1253104,110,,ok
3,4,Tiendas Lores Cosamaloapan,Cosamaloapan 1,18.3649469,-95.7951104,18.3652124,-95.7951968,31,,ok
4,3,Tiendas Lores Isla centro,Cd. Isla 1,18.0279596,-95.5294926,18.0592632,-95.5291176,3481,REVISAR_COORD,revisado_ok
5,5,Tiendas Lores Loma Bonita,Loma Bonita 1,18.1071795,-95.8809042,18.1073209,-95.8809429,16,,ok
6,7,Tiendas Lores Bulevar,Tuxtepec 2 (Bulevar),18.0863454,-96.1350072,18.087564,-96.1349773,136,,ok
7,6,Tiendas Lores Ferrocarril,Tres Valles 1 (Ferrocarril),18.2405445,-96.1335864,18.2406602,-96.1335484,13,,ok
8,8,Tiendas Lores Veracruz,Veracruz 1,19.1915807,-96.1353987,19.1949637,-96.1369203,409,,ok
9,9,TIENDAS LORES TEZONAPA,Tezonapa,18.6028701,-96.6860622,18.6031446,-96.6860622,31,,ok
10,10,Tiendas Lores Flores Magón,Tres Valles 2 (Flores Magón),18.2397161,-96.1365144,18.2399504,-96.1365359,26,,ok
11,11,Tiendas Lores Playa Vicente,Playa Vicente,17.8305051,-95.8140229,17.83074,-95.8140336,26,,ok
12,12,Tiendas Lores Villa Azueta,Villa Azueta,18.0749249,-95.7059603,18.0751187,-95.7060139,22,,ok
13,13,Tiendas Lores Rodriguez Clara,Juan Rodríguez Clara,17.9914802,-95.4013898,17.9915924,-95.4014864,16,,ok
14,14,Tiendas Lores Temascal,Temascal,18.2424003,-96.4002097,18.2426754,-96.400317,33,,ok
15,15,Tiendas Lores Prolongación Independencia,Tuxtepec 3 (Independencia),18.0841672,-96.141059,18.084261,-96.1411627,15,,ok
16,16,Tiendas Lores Lerdo,Lerdo de Tejada,18.6322481,-95.5205236,18.6323701,-95.5205665,14,,ok
17,17,Tiendas Lores Yanga,Yanga,18.8340625,-96.7988742,18.834296,-96.7989278,27,,ok
18,18,Tiendas Lores Papaloapan,Papaloapan,18.160292,-96.0943735,18.1604143,-96.094513,20,,ok
19,19,Tiendas Lores Valle Nacional,San Juan Bautista Valle Nacional,17.7746466,-96.3075943,17.7747181,-96.3075943,8,,ok
