clave,pedidos,zona,metodo,confianza
COSAMALOAPAN,32,COSAMALOAPAN,IDENTICO,ALTA
PLAYA VICENTE,26,PLAYA VICENTE,IDENTICO,ALTA
JALAPA DE DIAZ,23,JALAPA DE DIAZ,IDENTICO,ALTA
COTAXTLA,22,COTAXTLA,IDENTICO,ALTA
CUITLAHUAC,22,CUITLAHUAC,IDENTICO,ALTA
TUXTEPEC,21,TUXTEPEC,ALIAS,ALTA
LOMA BONITA,19,LOMA BONITA,IDENTICO,ALTA
SAN LUCAS OJITLAN,15,SAN LUCAS OJITLAN,IDENTICO,ALTA
ALVARADO,13,ALVARADO,IDENTICO,ALTA
JALAPA,10,JALAPA DE DIAZ,ALIAS,ALTA
JOSE AZUETA,10,JOSE AZUETA,IDENTICO,ALTA
XOCHIAPAN,8,SANTIAGO SOCHIAPAN,ALIAS,ALTA
VALLE NACIONAL,8,VALLE NACIONAL,IDENTICO,ALTA
TEMASCAL,8,TEMAZCAL,ALIAS,ALTA
PASO DE BOCA,7,PASO DE LA BOCA,ALIAS,ALTA
JUAN RODRIGUEZ CLARA,7,RODRIGUEZ CLARA,ALIAS,ALTA
ISLA,7,ISLA,ALIAS,ALTA
TRES VALLES,7,TRES VALLES,IDENTICO,ALTA
SANTIAGO SOCHIAPAN,6,SANTIAGO SOCHIAPAN,IDENTICO,ALTA
LOMBARDO,6,MARIA LOMBARDO,ALIAS,ALTA
SANTIAGO XINAHUAPAN,5,SANTIAGO SOCHIAPAN,ALIAS,ALTA
PIEDRAS NEGRAS,5,PIEDRAS NEGRAS,IDENTICO,ALTA
CARLOS A CARRILLO,5,CARLOS A CARRILLO,ALIAS,ALTA
MARIA LOMBARDO DE CASSO,4,MARIA LOMBARDO,ALIAS,ALTA
LOS NARANJOS,4,LOS NARANJOS,IDENTICO,ALTA
IGNACIO DE LA LLAVE,4,IGNACIO DE LA LLAVE,IDENTICO,ALTA
MIXTEQUILLA,4,,SIN RESOLVER,REVISAR
LA TINAJA,4,LA TINAJA,IDENTICO,ALTA
AMATITLAN,4,AMATITLAN,IDENTICO,ALTA
TLACOJALPAN,3,TLACOJALPAN,IDENTICO,ALTA
SAN FELIPE DE LA PENA,3,SAN FELIPE,ALIAS,ALTA
CARLOS A  CARRILLO,3,CARLOS A CARRILLO,APROXIMADO,MEDIA
TIERRA BLANCA,3,TIERRA BLANCA,IDENTICO,ALTA
NARANJOS,3,LOS NARANJOS,ALIAS,ALTA
ANGEL R  CABADA,3,,SIN RESOLVER,REVISAR
OTATITLAN,3,OTATITLAN,IDENTICO,ALTA
AYOTZINTEPEC,3,AYOZINTEPEC,ALIAS,ALTA
PLAYA VICENTE  VER,3,,SIN RESOLVER,REVISAR
RODRIGUEZ CLARA,3,RODRIGUEZ CLARA,IDENTICO,ALTA
SAN LUCAS OJITLAN  OAXACA,2,,SIN RESOLVER,REVISAR
NOPALTEPEC,2,NOPALTEPEC,IDENTICO,ALTA
SAN JUAN COTZOCON,2,,SIN RESOLVER,REVISAR
CATEMACO,2,CATEMACO,IDENTICO,ALTA
BOCA DEL RIO,2,,SIN RESOLVER,REVISAR
COSAMALOAPAN DE CARPIO,2,COSAMALOAPAN,ALIAS,ALTA
SAN MIGUEL SOYALTEPEC,2,TEMAZCAL,ALIAS,ALTA
BOCA DEL MONTES,2,BOCA DEL MONTE,ALIAS,ALTA
CHACALTIANGUIS,2,CHACALTIANGUIS,IDENTICO,ALTA
VALLE NAL,2,VALLE NACIONAL,ALIAS,ALTA
HUATUSCO,2,HUATUSCO,IDENTICO,ALTA
SAN FELIPE JALAPA DE DIAZ,1,JALAPA DE DIAZ,ALIAS,ALTA
ZONGOLICA,1,,SIN RESOLVER,REVISAR
ACATLAN DE PEREZ,1,,SIN RESOLVER,REVISAR
COSCOMATEPEC,1,COSCOMATEPEC,IDENTICO,ALTA
DOS BOCAS,1,DOS BOCAS,IDENTICO,ALTA
LERDO DE TEJADA,1,,SIN RESOLVER,REVISAR
MATA LOMA,1,,SIN RESOLVER,REVISAR
JOSE CARDEL,1,,SIN RESOLVER,REVISAR
SAN JOSE CHILTEPEC,1,,SIN RESOLVER,REVISAR
TEZONAPA,1,TEZONAPA,IDENTICO,ALTA
POTRERO NVO,1,,SIN RESOLVER,REVISAR
VERACRUZ,1,VERACRUZ,IDENTICO,ALTA
SAN JUAN LA LANA,1,,SIN RESOLVER,REVISAR
S  JUAN COTZOCON,1,,SIN RESOLVER,REVISAR
YANGA,1,YANGA,IDENTICO,ALTA
PASO DE LA BOCA,1,PASO DE LA BOCA,IDENTICO,ALTA
P  NEGRAS,1,,SIN RESOLVER,REVISAR
BOCA DEL MONTE,1,BOCA DEL MONTE,IDENTICO,ALTA
