nombre_regla,num_tienda,posicion
zona_1,4,1
zona_1,27,2
zona_1,75,3
zona_1,86,4
zona_1,49,5
zona_1,100,6
zona_2,92,1
zona_2,13,2
zona_2,3,3
zona_2,73,4
zona_2,85,5
zona_3,5,1
zona_3,37,2
zona_3,12,3
zona_4,64,1
zona_4,65,2
zona_4,70,3
zona_4,18,4
zona_6,11,1
zona_6,93,2
zona_6,42,3
zona_7,97,1
zona_7,35,2
zona_8,33,1
zona_8,19,2
zona_9,69,1
zona_9,10,2
zona_9,6,3
zona_9,79,4
zona_9,89,5
zona_10,14,1
zona_10,47,2
zona_12,23,1
zona_12,20,2
zona_12,58,3
zona_13,59,1
zona_13,9,2
zona_14,17,1
zona_14,26,2
zona_14,34,3
zona_15,56,1
zona_15,95,2
zona_15,51,3
zona_15,50,4
zona_16,87,1
zona_16,62,2
zona_16,66,3
zona_16,8,4
zona_17,67,1
zona_17,72,2
zona_17,99,3
zona_17,71,4
zona_18,94,1
zona_18,80,2
zona_18,83,3
zona_18,60,4
zona_18,41,5
zona_19,81,1
zona_19,52,2
zona_19,53,3
zona_19,40,4
zona_20,82,1
zona_20,61,2
zona_20,48,3
zona_20,43,4
zona_20,44,5
zona_21,21,1
zona_21,68,2
zona_21,16,3
zona_21,88,4
zona_21,22,5
zona_22,32,1
zona_22,78,2
zona_22,90,3
zona_22,91,4
zona_22,98,5
zona_22,39,6
zona_22,96,7
zona_22,45,8
zona_23,29,1
zona_23,30,2
zona_23,28,3
zona_5,2,1
zona_5,31,2
zona_5,102,3
zona_5,74,4
zona_5,55,5
zona_5,7,6
zona_25,54,1
zona_25,46,2
zona_25,15,3
zona_25,57,4
zona_25,38,5
