grupo,dia_preferido,unidad_ref,unidad_anterior,kg_tipico,kg_p90,afinidad
1,MARTES,F 350_2,F 350_2,3723,3996,F 350_2:8 | T 17_1:1
2,MARTES,F 350_3,F 350_3,2974,3618,F 350_3:9
3,JUEVES,F 350_1,F 350_1,2939,3377,F 350_1:7 | F 350_2:2
4,MARTES,F 350_1,F 350_1,2959,3239,F 350_1:9
5,JUEVES,T 17_2,T 17_2,1259,1509,T 23:4 | T 25:4 | T 17_2:1
6,MARTES,T 17_2,T 17_2,1181,1321,T 25:5 | T 17_2:2 | T 20:1 | KANGOO:1
7,MIERCOLES,K 16,K 16,2075,2362,T 17_2:4 | K 16:4 | K 20:1
8,JUEVES,F 350_2,F 350_2,1183,1562,T 17_1:3 | F 350_2:3 | F 350_3:1 | K 16:1 | J 19:1
9,MARTES,J 18,J 18,1443,1760,T 20:6 | T 23:2 | T 25:1
10,JUEVES,J 18,J 18,1099,1399,T 25:5 | K 16:2 | J 19:1 | T 17_2:1
11,JUEVES,T 20,J 18,1066,1195,T 20:3 | T 23:2 | T 17_2:1 | F 350_2:1 | J 18:1 | T 17_1:1
12,MIERCOLES,J 18,J 18,1592,1996,T 25:2 | K 16:2 | T 20:2 | J 18:1 | T 17_2:1 | J 19:1
13,JUEVES,K 16,K 16,1195,1777,T 25:2 | T 17_2:2 | K 16:1 | J 19:1 | T 20:1 | K 20:1 | T 23:1
14,LUNES,T 17_1,T 17_1,2072,2400,T 17_1:3 | F 350_3:2 | F 350_2:2 | T 17_2:1 | J 19:1
15,MIERCOLES,F 350_3,F 350_3,2009,2863,F 350_3:2 | T 17_2:2 | T 17_1:2 | T 23:2 | J 19:1
16,LUNES,T 17_2,T 17_2,1372,1712,T 20:3 | T 17_2:2 | T 25:1 | J 19:1 | T 17_1:1 | T 23:1
17,VIERNES,T 20,T 20,887,1112,KANGOO:3 | T 20:2 | T 23:2 | J 19:1 | T 17_1:1
18,JUEVES,K 20,T 17_2,585,686,T 20:2 | T 17_2:2 | T 23:2 | F 350_3:1 | K 20:1 | KANGOO:1
19,JUEVES,F 350_1,F 350_1,958,1585,F 350_1:7 | T 20:1 | T 25:1
20,JUEVES,T 23,T 23,1135,1346,T 23:2 | F 350_2:2 | F 350_3:1 | T 17_2:1 | T 17_1:1 | T 20:1 | J 19:1
21,JUEVES,F 350_3,F 350_3,1486,2922,T 17_1:3 | F 350_1:2 | J 19:1 | T 23:1 | K 16:1 | F 350_3:1
22,JUEVES,J 19,J 19,1305,1526,J 19:3 | K 16:2 | T 25:1 | T 17_2:1 | T 20:1 | T 17_1:1
23,MARTES,T 17_1,T 17_1,1399,1518,T 17_1:3 | T 17_2:2 | T 20:2 | T 23:1 | K 16:1
24,MIERCOLES,F 350_2,F 350_2,1759,2981,T 17_1:4 | F 350_3:2 | T 20:1 | F 350_2:1 | T 17_2:1
25,VIERNES,T 17_1,T 17_1,981,1129,T 17_1:4 | T 23:2 | T 20:1 | F 350_1:1 | K 16:1
26,MIERCOLES,T 20,T 20,934,1385,T 20:3 | F 350_3:2 | T 23:2 | T 17_1:1 | T 25:1
27,MARTES,T 23,T 23,1086,1422,T 23:4 | F 350_3:3 | F 350_1:1 | T 25:1
28,JUEVES,K 20,F 350_2,718,851,T 20:2 | F 350_3:1 | K 20:1 | T 17_2:1 | T 23:1 | F 350_2:1 | J 18:1 | T 17_1:1
29,LUNES,K 16,K 16,1369,1528,T 17_2:4 | K 16:4 | K 20:1
30,LUNES,T 23,T 23,918,976,T 23:3 | K 16:2 | T 20:2 | T 17_1:1 | T 25:1
31,LUNES,T 25,T 25,415,693,T 25:5 | J 19:1 | T 17_1:1 | K 16:1 | KANGOO:1
32,JUEVES,J 18,K 16,268,409,T 17_1:3 | T 25:2 | T 20:2 | J 19:1 | K 16:1
33,MIERCOLES,K 16,K 16,325,528,T 17_2:4 | K 16:2 | T 20:1 | T 25:1 | T 23:1
34,MIERCOLES,T 25,T 25,929,1244,T 25:3 | T 20:2 | T 17_1:2 | F 350_2:1 | T 17_2:1
35,JUEVES,T 20,T 17_2,282,341,T 20:3 | T 17_2:2 | KANGOO:2 | K 20:1 | F 350_2:1
36,JUEVES,J 19,J 19,273,379,T 20:2 | J 19:2 | T 23:2 | K 16:1 | F 350_2:1 | T 17_2:1
37,MARTES,K 16,K 16,1172,1292,F 350_2:4 | T 17_2:1 | T 17_1:1 | T 25:1 | T 23:1 | K 16:1
38,LUNES,K 16,K 16,1088,1342,K 16:5 | T 23:2 | J 19:1 | K 20:1
39,LUNES,T 20,T 20,575,818,K 16:3 | T 20:2 | T 23:2 | T 17_1:1 | T 25:1
40,LUNES,T 20,T 20,366,402,T 23:2 | T 17_2:2 | T 20:2 | J 19:1 | K 16:1 | K 20:1
41,LUNES,T 23,T 23,261,552,T 17_2:4 | J 19:1 | T 23:1 | F 350_3:1 | T 20:1 | T 25:1
42,JUEVES,T 17_2,T 17_2,326,488,T 20:3 | T 25:2 | T 17_1:2 | T 17_2:2
